,bus0,bus1,length,s_nom,s_nom_max,carrier,s_nom_opt
63,DE0 10,DE0 24,108,3.396,13.396,AC,3.396
64,DE0 10,DE0 26,74,11.336,21.336,AC,11.336
65,DE0 10,DE0 5,203,2.277,12.277,AC,2.277
66,DE0 11,DE0 15,128,3.396,13.396,AC,3.396
67,DE0 11,DE0 21,135,1.138,11.138,AC,1.138
68,DE0 12,DE0 18,155,13.585,23.585,AC,13.585
69,DE0 12,DE0 3,197,4.535,14.535,AC,4.535
70,DE0 12,DE0 8,165,10.189,20.189,AC,10.189
71,DE0 13,DE0 16,117,8.491,18.491,AC,8.491
72,DE0 13,DE0 2,165,6.792,16.792,AC,6.792
73,DE0 13,DE0 22,106,13.025,23.025,AC,13.025
74,DE0 13,DE0 27,168,1.698,11.698,AC,1.698
75,DE0 14,DE0 19,118,4.535,14.535,AC,4.535
76,DE0 14,DE0 20,180,1.138,11.138,AC,1.138
77,DE0 14,DE0 24,133,3.396,13.396,AC,3.396
78,DE0 15,DE0 21,215,3.396,13.396,AC,3.396
79,DE0 15,DE0 23,200,3.396,13.396,AC,3.396
80,DE0 15,DE0 4,219,3.396,13.396,AC,3.396
81,DE0 15,DK0 0,298,4.535,14.535,AC,4.535
82,DE0 16,DE0 9,131,11.887,21.887,AC,11.887
83,DE0 17,DE0 22,139,9.629,19.629,AC,9.629
84,DE0 17,DE0 5,146,3.396,13.396,AC,3.396
85,DE0 17,DE0 7,196,10.189,20.189,AC,10.189
86,DE0 17,FR0 4,138,3.965,13.965,AC,3.965
87,DE0 17,LU0 0,84,3.984,13.984,AC,3.984
88,DE0 18,DE0 20,142,10.189,20.189,AC,10.189
89,DE0 18,PL0 3,205,3.396,13.396,AC,3.396
90,DE0 19,DE0 20,112,7.931,17.931,AC,7.931
91,DE0 19,DE0 25,159,3.396,13.396,AC,3.396
92,DE0 19,DE0 8,156,3.396,13.396,AC,3.396
93,DE0 2,DE0 22,209,6.233,16.233,AC,6.233
94,DE0 2,FR0 21,83,5.663,15.663,AC,5.663
95,DE0 21,DE0 24,158,3.396,13.396,AC,3.396
96,DE0 21,DE0 4,138,1.138,11.138,AC,1.138
97,DE0 22,DE0 27,141,1.698,11.698,AC,1.698
98,DE0 22,DE0 5,119,5.094,15.094,AC,5.094
99,DE0 23,DE0 3,156,5.673,15.673,AC,5.673
100,DE0 23,DE0 8,235,4.535,14.535,AC,4.535
101,DE0 24,DE0 27,197,3.396,13.396,AC,3.396
102,DE0 24,DE0 4,186,3.396,13.396,AC,3.396
103,DE0 24,DE0 5,157,5.094,15.094,AC,5.094
104,DE0 25,DE0 6,141,3.396,13.396,AC,3.396
105,DE0 26,DE0 5,201,7.931,17.931,AC,7.931
106,DE0 26,DE0 7,61,39.075,49.075,AC,39.075
107,DE0 27,DE0 5,119,7.931,17.931,AC,7.931
108,DE0 3,PL0 3,154,3.396,13.396,AC,3.396
109,DE0 4,DE0 8,134,3.396,13.396,AC,3.396
110,DE0 6,DE0 9,112,6.233,16.233,AC,6.233
111,DE0 7,NL0 1,171,0.0,10.0,AC,0.0
112,DE0 7,NL0 2,112,3.396,13.396,AC,3.396
113,DK3 0,SE3 3,214,3.396,13.396,AC,3.396
114,EE6 0,LV6 0,337,2.117,12.117,AC,2.117
115,ES0 0,ES0 11,192,9.069,19.069,AC,9.069
116,ES0 0,ES0 6,316,9.06,19.06,AC,9.06
117,ES0 0,PT0 2,253,3.396,13.396,AC,3.396
118,ES0 1,ES0 10,322,3.396,13.396,AC,3.396
119,ES0 1,ES0 11,395,4.535,14.535,AC,4.535
120,ES0 1,ES0 12,336,5.094,15.094,AC,5.094
121,ES0 1,ES0 4,319,6.792,16.792,AC,6.792
122,ES0 1,ES0 6,287,11.896,21.896,AC,11.896
123,ES0 1,ES0 8,320,9.069,19.069,AC,9.069
124,ES0 10,ES0 2,241,13.034,23.034,AC,13.034
125,ES0 10,ES0 4,130,19.267,29.267,AC,19.267
126,ES0 10,ES0 6,302,3.396,13.396,AC,3.396
127,ES0 10,PT0 1,210,3.406,13.406,AC,3.406
128,ES0 11,ES0 5,367,1.698,11.698,AC,1.698
129,ES0 11,ES0 6,344,5.094,15.094,AC,5.094
130,ES0 12,ES0 3,195,5.673,15.673,AC,5.673
131,ES0 12,ES0 9,189,7.94,17.94,AC,7.94
132,ES0 12,FR0 23,220,2.267,12.267,AC,2.267
133,ES0 2,ES0 4,287,6.233,16.233,AC,6.233
134,ES0 2,PT0 1,230,3.396,13.396,AC,3.396
135,ES0 3,ES0 7,199,20.965,30.965,AC,20.965
136,ES0 3,ES0 8,294,3.396,13.396,AC,3.396
137,ES0 3,FR0 23,291,0.569,10.569,AC,0.569
138,ES0 4,ES0 9,223,14.173,24.173,AC,14.173
139,ES0 5,ES0 8,198,7.94,17.94,AC,7.94
140,ES0 6,PT0 0,288,1.698,11.698,AC,1.698
141,ES0 6,PT0 2,308,3.396,13.396,AC,3.396
142,ES0 7,FR0 26,281,1.698,11.698,AC,1.698
143,FI3 0,FI3 1,444,5.094,15.094,AC,5.094
144,FI3 0,FI3 2,298,1.698,11.698,AC,1.698
145,FI3 0,FI3 4,224,8.491,18.491,AC,8.491
146,FI3 1,FI3 2,422,1.698,11.698,AC,1.698
147,FI3 1,FI3 3,327,5.094,15.094,AC,5.094
148,FI3 1,SE3 7,350,1.698,11.698,AC,1.698
149,FI3 2,FI3 4,209,5.094,15.094,AC,5.094
150,FI3 3,SE3 7,306,1.698,11.698,AC,1.698
151,FR0 0,FR0 14,114,6.811,16.811,AC,6.811
152,FR0 0,FR0 24,157,1.138,11.138,AC,1.138
153,FR0 0,FR0 26,151,4.535,14.535,AC,4.535
154,FR0 1,FR0 11,191,11.327,21.327,AC,11.327
155,FR0 1,FR0 17,304,7.362,17.362,AC,7.362
156,FR0 1,FR0 19,263,6.802,16.802,AC,6.802
157,FR0 1,FR0 22,186,11.327,21.327,AC,11.327
158,FR0 1,FR0 5,410,1.698,11.698,AC,1.698
159,FR0 1,FR0 7,228,3.965,13.965,AC,3.965
160,FR0 1,FR0 8,218,4.535,14.535,AC,4.535
161,FR0 10,FR0 13,200,1.138,11.138,AC,1.138
162,FR0 10,FR0 14,120,9.638,19.638,AC,9.638
163,FR0 10,IT0 12,230,0.569,10.569,AC,0.569
164,FR0 11,FR0 15,201,4.535,14.535,AC,4.535
165,FR0 11,FR0 16,300,5.094,15.094,AC,5.094
166,FR0 11,FR0 17,251,0.569,10.569,AC,0.569
167,FR0 11,FR0 21,273,0.569,10.569,AC,0.569
168,FR0 11,FR0 25,273,6.233,16.233,AC,6.233
169,FR0 11,FR0 4,215,5.663,15.663,AC,5.663
170,FR0 12,FR0 20,193,6.802,16.802,AC,6.802
171,FR0 12,FR0 23,187,3.396,13.396,AC,3.396
172,FR0 12,FR0 6,235,4.535,14.535,AC,4.535
173,FR0 13,FR0 14,207,7.931,17.931,AC,7.931
174,FR0 13,FR0 16,137,15.862,25.862,AC,15.862
175,FR0 13,FR0 2,115,3.396,13.396,AC,3.396
176,FR0 13,FR0 25,167,3.396,13.396,AC,3.396
177,FR0 13,IT0 12,218,0.0,10.0,AC,0.0
178,FR0 15,FR0 4,174,4.535,14.535,AC,4.535
179,FR0 15,FR0 8,144,5.663,15.663,AC,5.663
180,FR0 16,FR0 17,190,3.396,13.396,AC,3.396
181,FR0 16,FR0 24,237,1.138,11.138,AC,1.138
182,FR0 16,FR0 25,113,16.431,26.431,AC,16.431
183,FR0 17,FR0 24,248,0.569,10.569,AC,0.569
184,FR0 17,FR0 5,132,5.104,15.104,AC,5.104
185,FR0 17,FR0 7,256,0.569,10.569,AC,0.569
186,FR0 18,FR0 22,214,4.535,14.535,AC,4.535
187,FR0 18,FR0 3,199,2.267,12.267,AC,2.267
188,FR0 18,FR0 7,224,3.965,13.965,AC,3.965
189,FR0 18,FR0 9,166,3.965,13.965,AC,3.965
190,FR0 19,FR0 22,227,3.396,13.396,AC,3.396
191,FR0 19,FR0 8,108,14.742,24.742,AC,14.742
192,FR0 2,FR0 25,134,2.836,12.836,AC,2.836
193,FR0 2,IT0 12,137,5.094,15.094,AC,5.094
194,FR0 20,FR0 5,224,5.094,15.094,AC,5.094
195,FR0 20,FR0 7,198,3.965,13.965,AC,3.965
196,FR0 20,FR0 9,198,1.138,11.138,AC,1.138
197,FR0 21,FR0 25,278,2.836,12.836,AC,2.836
198,FR0 21,FR0 4,147,7.362,17.362,AC,7.362
199,FR0 22,FR0 7,248,0.569,10.569,AC,0.569
200,FR0 23,FR0 6,208,3.965,13.965,AC,3.965
201,FR0 24,FR0 26,163,2.836,12.836,AC,2.836
202,FR0 24,FR0 5,164,5.104,15.104,AC,5.104
203,FR0 24,FR0 6,240,0.569,10.569,AC,0.569
204,FR0 26,FR0 6,134,4.535,14.535,AC,4.535
205,FR0 3,FR0 9,231,5.104,15.104,AC,5.104
206,FR0 5,FR0 7,285,1.138,11.138,AC,1.138
207,FR0 7,FR0 9,207,2.836,12.836,AC,2.836
208,GB4 0,IE4 0,288,1.138,11.138,AC,1.138
209,GB5 0,GB5 16,160,8.269,18.269,AC,8.269
210,GB5 0,GB5 8,163,2.117,12.117,AC,2.117
211,GB5 1,GB5 10,163,6.792,16.792,AC,6.792
212,GB5 1,GB5 11,150,6.153,16.153,AC,6.153
213,GB5 1,GB5 15,149,3.396,13.396,AC,3.396
214,GB5 1,GB5 6,167,3.396,13.396,AC,3.396
215,GB5 1,GB5 7,172,3.396,13.396,AC,3.396
216,GB5 10,GB5 11,285,3.396,13.396,AC,3.396
217,GB5 10,GB5 13,105,13.585,23.585,AC,13.585
218,GB5 10,GB5 6,149,12.305,22.305,AC,12.305
219,GB5 11,GB5 15,66,21.61,31.61,AC,21.61
220,GB5 11,GB5 2,140,10.189,20.189,AC,10.189
221,GB5 11,GB5 5,75,13.585,23.585,AC,13.585
222,GB5 12,GB5 7,109,6.792,16.792,AC,6.792
223,GB5 13,GB5 17,156,3.396,13.396,AC,3.396
224,GB5 13,GB5 2,134,10.189,20.189,AC,10.189
225,GB5 13,GB5 9,82,22.494,32.494,AC,22.494
226,GB5 14,GB5 6,78,9.968,19.968,AC,9.968
227,GB5 15,GB5 7,80,6.792,16.792,AC,6.792
228,GB5 16,GB5 4,214,5.513,15.513,AC,5.513
229,GB5 16,GB5 7,314,3.396,13.396,AC,3.396
230,GB5 16,GB5 8,232,4.233,14.233,AC,4.233
231,GB5 17,GB5 2,113,3.396,13.396,AC,3.396
232,GB5 3,GB5 6,154,6.792,16.792,AC,6.792
233,GB5 4,GB5 5,185,6.792,16.792,AC,6.792
234,GR0 0,GR0 1,292,13.585,23.585,AC,13.585
235,GR0 1,MK0 0,224,3.396,13.396,AC,3.396
236,HR0 0,HU0 0,351,6.792,16.792,AC,6.792
237,HR0 0,RS0 1,402,1.698,11.698,AC,1.698
238,HR0 0,SI0 0,186,6.233,16.233,AC,6.233
239,HU0 0,HU0 1,192,11.327,21.327,AC,11.327
240,HU0 0,SK0 0,205,3.396,13.396,AC,3.396
241,HU0 1,RO0 0,296,3.396,13.396,AC,3.396
242,HU0 1,RS0 1,332,1.698,11.698,AC,1.698
243,IT0 0,IT0 11,140,9.06,19.06,AC,9.06
244,IT0 0,IT0 12,188,3.406,13.406,AC,3.406
245,IT0 0,IT0 15,176,4.535,14.535,AC,4.535
246,IT0 0,IT0 5,204,5.094,15.094,AC,5.094
247,IT0 0,IT0 8,202,3.396,13.396,AC,3.396
248,IT0 1,IT0 10,257,3.396,13.396,AC,3.396
249,IT0 1,IT0 14,198,1.698,11.698,AC,1.698
250,IT0 1,IT0 9,110,3.396,13.396,AC,3.396
251,IT0 10,IT0 3,233,1.698,11.698,AC,1.698
252,IT0 10,IT0 9,295,1.698,11.698,AC,1.698
253,IT0 11,IT0 12,141,7.931,17.931,AC,7.931
254,IT0 11,IT0 15,226,0.569,10.569,AC,0.569
255,IT0 11,IT0 5,154,3.406,13.406,AC,3.406
256,IT0 13,IT0 7,189,2.277,12.277,AC,2.277
257,IT0 14,IT0 2,280,1.698,11.698,AC,1.698
258,IT0 14,IT0 4,146,2.267,12.267,AC,2.267
259,IT0 14,IT0 9,231,0.569,10.569,AC,0.569
260,IT0 15,IT0 16,188,10.767,20.767,AC,10.767
261,IT0 15,IT0 2,147,6.792,16.792,AC,6.792
262,IT0 15,IT0 5,137,6.242,16.242,AC,6.242
263,IT0 15,IT0 8,211,2.267,12.267,AC,2.267
264,IT0 16,SI0 0,179,2.267,12.267,AC,2.267
265,IT0 3,IT0 7,254,3.396,13.396,AC,3.396
266,IT0 3,IT0 9,348,3.396,13.396,AC,3.396
267,IT0 4,IT0 6,125,14.163,24.163,AC,14.163
268,IT0 4,IT0 9,200,5.094,15.094,AC,5.094
269,IT0 6,IT0 8,185,5.663,15.663,AC,5.663
270,LT6 0,LV6 0,233,4.233,14.233,AC,4.233
271,ME0 0,RS0 0,240,1.698,11.698,AC,1.698
272,ME0 0,RS0 1,296,1.138,11.138,AC,1.138
273,MK0 0,RS0 0,227,3.396,13.396,AC,3.396
274,NL0 0,NL0 2,111,5.094,15.094,AC,5.094
275,NL0 0,NL0 4,83,3.396,13.396,AC,3.396
276,NL0 1,NL0 2,123,3.396,13.396,AC,3.396
277,NL0 1,NL0 3,138,4.535,14.535,AC,4.535
278,NL0 1,NL0 5,93,4.535,14.535,AC,4.535
279,NL0 3,NL0 5,94,1.138,11.138,AC,1.138
280,NL0 4,NL0 5,111,3.396,13.396,AC,3.396
281,NO3 0,NO3 2,377,2.756,12.756,AC,2.756
282,NO3 0,NO3 3,350,2.756,12.756,AC,2.756
283,NO3 0,SE3 5,232,1.698,11.698,AC,1.698
284,NO3 1,NO3 3,304,1.698,11.698,AC,1.698
285,NO3 1,SE3 4,170,1.698,11.698,AC,1.698
286,NO3 2,NO3 4,188,6.153,16.153,AC,6.153
287,NO3 2,NO3 6,242,8.269,18.269,AC,8.269
288,NO3 3,SE3 5,348,0.569,10.569,AC,0.569
289,NO3 4,NO3 5,189,7.409,17.409,AC,7.409
290,NO3 5,NO3 6,240,8.269,18.269,AC,8.269
291,NO3 6,SE3 6,301,3.396,13.396,AC,3.396
292,PL0 0,PL0 6,200,13.594,23.594,AC,13.594
293,PL0 0,PL0 7,203,2.267,12.267,AC,2.267
294,PL0 1,PL0 2,391,0.569,10.569,AC,0.569
295,PL0 1,PL0 3,292,1.698,11.698,AC,1.698
296,PL0 1,PL0 4,263,2.267,12.267,AC,2.267
297,PL0 1,PL0 6,363,1.698,11.698,AC,1.698
298,PL0 2,PL0 3,258,6.811,16.811,AC,6.811
299,PL0 2,PL0 4,225,3.965,13.965,AC,3.965
300,PL0 2,PL0 5,260,9.06,19.06,AC,9.06
301,PL0 4,PL0 5,292,2.277,12.277,AC,2.277
302,PL0 4,PL0 6,181,5.104,15.104,AC,5.104
303,PL0 5,PL0 6,335,3.965,13.965,AC,3.965
304,PL0 5,PL0 7,191,7.371,17.371,AC,7.371
305,PL0 7,SK0 0,308,3.396,13.396,AC,3.396
306,PT0 0,PT0 1,264,13.053,23.053,AC,13.053
307,PT0 0,PT0 2,216,3.396,13.396,AC,3.396
308,RO0 0,RO0 1,280,10.767,20.767,AC,10.767
309,RO0 0,RO0 2,440,0.569,10.569,AC,0.569
310,RO0 0,RS0 0,423,1.698,11.698,AC,1.698
311,RO0 0,RS0 1,325,3.396,13.396,AC,3.396
312,RO0 1,RO0 2,257,5.094,15.094,AC,5.094
313,RS0 0,RS0 1,240,4.535,14.535,AC,4.535
314,SE3 0,SE3 2,446,11.896,21.896,AC,11.896
315,SE3 0,SE3 3,482,6.792,16.792,AC,6.792
316,SE3 0,SE3 6,403,1.698,11.698,AC,1.698
317,SE3 1,SE3 2,252,10.758,20.758,AC,10.758
318,SE3 1,SE3 4,373,1.698,11.698,AC,1.698
319,SE3 1,SE3 7,272,5.094,15.094,AC,5.094
320,SE3 2,SE3 5,141,6.802,16.802,AC,6.802
321,SE3 3,SE3 6,222,5.094,15.094,AC,5.094
322,SE3 4,SE3 7,161,5.094,15.094,AC,5.094
323,SE3 5,SE3 6,751,3.396,13.396,AC,3.396
14547,IT0 10,GR0 1,540,0.5,10.5,DC,0.5
5686,ES2 0,ES0 8,380,0.4,10.4,DC,0.4
14539,ME0 0,IT0 14,560,0.0,10.0,DC,0.0
12998,IT0 4,IT1 0,484,1.0,11.0,DC,1.0
14562,FR0 26,ES0 7,281,2.0,12.0,DC,2.0
14538,DE0 7,BE0 1,146,0.0,10.0,DC,0.0
14550,GB5 9,NL0 0,337,1.0,11.0,DC,1.0
14537,GB5 9,BE0 0,250,0.0,10.0,DC,0.0
14563,GB5 9,FR0 19,177,2.0,12.0,DC,2.0
14542,DK3 0,DK0 0,210,0.6,10.6,DC,0.6
14551,DK3 0,DE0 23,287,0.6,10.6,DC,0.6
14560,PL0 1,SE3 3,431,0.6,10.6,DC,0.6
14540,NL0 3,DK0 0,446,0.0,10.0,DC,0.0
14558,NL0 3,NO3 5,820,0.7,10.7,DC,0.7
14584,DE0 15,NO3 5,760,0.0,10.0,DC,0.0
5626,GB5 16,GB4 0,237,0.25,10.25,DC,0.25
5625,GB5 16,GB4 0,237,0.25,10.25,DC,0.25
14552,GB5 7,IE4 0,411,0.5,10.5,DC,0.5
14531,SE3 6,DK0 0,345,0.25,10.25,DC,0.25
14556,SE3 6,DK0 0,345,0.6,10.6,DC,0.6
14553,FI3 4,EE6 0,234,0.65,10.65,DC,0.65
14555,SE3 0,FI3 0,478,0.8,10.8,DC,0.8
14554,SE3 0,FI3 0,478,0.5,10.5,DC,0.5
T0,ES0 9,FR0 12,404,0.0,10.0,DC,0.0
T1,IT0 12,FR0 13,218,0.0,10.0,DC,0.0
T2,FR0 22,GB5 10,328,0.0,10.0,DC,0.0
T10,DE0 8,DE0 9,469,0.0,10.0,DC,0.0
T12,GB5 6,FR0 18,438,0.0,10.0,DC,0.0
T13,GB5 2,DK0 0,929,0.0,10.0,DC,0.0
T15,IT0 11,CH0 1,181,0.0,10.0,DC,0.0
T17,NO3 2,GB5 8,923,0.0,10.0,DC,0.0
T18,DE0 15,DE0 13,710,0.0,10.0,DC,0.0
T19,GB5 10,FR0 22,328,0.0,10.0,DC,0.0
T20,DE0 7,DE0 22,293,0.0,10.0,DC,0.0
T21,GB5 9,FR0 19,177,0.0,10.0,DC,0.0
T22,GB5 9,DE0 11,718,0.0,10.0,DC,0.0
T23,LT6 0,SE3 3,725,0.0,10.0,DC,0.0
T24,EE6 0,FI3 4,234,0.0,10.0,DC,0.0
6168,PL0 6,LT6 0,413,2.0,12.0,DC,2.0
5631+4,IT0 8,IT1 0,562,0.3,10.3,DC,0.3
T16+1,SE3 3,DE0 23,476,0.0,10.0,DC,0.0
14559+1,DK0 0,NO3 5,475,0.94,10.94,DC,0.94
